Node,TAZ12,County,Region,TAZCentroid
273,273,Plumas,Rest of State,1
274,274,Plumas,Rest of State,1
275,275,Plumas,Rest of State,1
276,276,Plumas,Rest of State,1
277,277,Sierra,Rest of State,1
278,278,Tehama,Rest of State,1
279,279,Tehama,Rest of State,1
280,280,Tehama,Rest of State,1
281,281,Tehama,Rest of State,1
282,282,Tehama,Rest of State,1
283,283,Tehama,Rest of State,1
284,284,Tehama,Rest of State,1
285,285,Butte,Rest of State,1
286,286,Butte,Rest of State,1
287,287,Lake,Rest of State,1
288,3004,Amador,Rest of State,0
300,300,Sutter,SACOG/TRPA,1
301,301,Sutter,SACOG/TRPA,1
302,302,Sutter,SACOG/TRPA,1
303,303,Sutter,SACOG/TRPA,1
304,304,Sutter,SACOG/TRPA,1
305,305,Sutter,SACOG/TRPA,1
306,306,Sutter,SACOG/TRPA,1
307,307,Sutter,SACOG/TRPA,1
308,308,Sutter,SACOG/TRPA,1
309,309,Sutter,SACOG/TRPA,1
310,310,Yolo,SACOG/TRPA,1
311,311,Yolo,SACOG/TRPA,1
312,312,Yolo,SACOG/TRPA,1
313,313,Yolo,SACOG/TRPA,1
314,314,Yolo,SACOG/TRPA,1
315,315,Yolo,SACOG/TRPA,1
316,316,Yolo,SACOG/TRPA,1
317,317,Yolo,SACOG/TRPA,1
318,318,Yolo,SACOG/TRPA,1
319,319,Yolo,SACOG/TRPA,1
320,320,Yolo,SACOG/TRPA,1
321,321,Yolo,SACOG/TRPA,1
322,322,Yolo,SACOG/TRPA,1
323,323,Yolo,SACOG/TRPA,1
324,324,Yolo,SACOG/TRPA,1
325,325,Yolo,SACOG/TRPA,1
326,326,Yolo,SACOG/TRPA,1
327,327,Yolo,SACOG/TRPA,1
328,328,Yolo,SACOG/TRPA,1
329,329,Yolo,SACOG/TRPA,1
330,330,Yolo,SACOG/TRPA,1
331,331,Yolo,SACOG/TRPA,1
332,332,Yolo,SACOG/TRPA,1
333,333,Yolo,SACOG/TRPA,1
334,334,Yolo,SACOG/TRPA,1
335,335,Yolo,SACOG/TRPA,1
336,336,Yolo,SACOG/TRPA,1
337,337,Yuba,SACOG/TRPA,1
338,338,Yuba,SACOG/TRPA,1
339,339,Yuba,SACOG/TRPA,1
340,340,Yuba,SACOG/TRPA,1
341,341,Yuba,SACOG/TRPA,1
342,342,Yuba,SACOG/TRPA,1
343,343,Yuba,SACOG/TRPA,1
344,344,Yuba,SACOG/TRPA,1
345,345,Yuba,SACOG/TRPA,1
346,346,Yuba,SACOG/TRPA,1
347,347,Yuba,SACOG/TRPA,1
348,348,Yolo,SACOG/TRPA,1
359,3000,Alpine,Rest of State,0
360,3010,Calaveras,Rest of State,0
361,3021,Mono,Rest of State,0
362,877,Solano,MTC,0
363,906,Marin,MTC,0
364,1545,Contra Costa,MTC,0
365,1357,Contra Costa,MTC,0
366,3026,Tuolumne,Rest of State,0
367,1063,San Francisco,MTC,0
373,1503,Alameda,MTC,0
374,1152,San Francisco,MTC,0
400,400,El Dorado,SACOG/TRPA,1
401,401,El Dorado,SACOG/TRPA,1
402,402,El Dorado,SACOG/TRPA,1
403,403,El Dorado,SACOG/TRPA,1
404,404,El Dorado,SACOG/TRPA,1
405,405,El Dorado,SACOG/TRPA,1
406,406,El Dorado,SACOG/TRPA,1
407,407,El Dorado,SACOG/TRPA,1
408,408,El Dorado,SACOG/TRPA,1
409,409,El Dorado,SACOG/TRPA,1
410,410,El Dorado,SACOG/TRPA,1
411,411,El Dorado,SACOG/TRPA,1
412,412,El Dorado,SACOG/TRPA,1
413,413,El Dorado,SACOG/TRPA,1
414,414,El Dorado,SACOG/TRPA,1
